[Debug  ] <AudioSpectrumScopeWidget::AudioSpectrumScopeWidget> begin 
[Debug  ] <AudioSpectrumScopeWidget::AudioSpectrumScopeWidget> end 
[Debug  ] <ScopeDock::ScopeDock> begin 
[Debug  ] <ScopeDock::ScopeDock> end 
[Debug  ] <ScopeWidget::ScopeWidget> begin true 
[Debug  ] <ScopeWidget::ScopeWidget> end 
[Debug  ] <AudioWaveformScopeWidget::AudioWaveformScopeWidget> begin 
[Debug  ] <AudioWaveformScopeWidget::AudioWaveformScopeWidget> end 
[Debug  ] <ScopeDock::ScopeDock> begin 
[Debug  ] <ScopeDock::ScopeDock> end 
[Debug  ] <ScopeWidget::ScopeWidget> begin true 
[Debug  ] <ScopeWidget::ScopeWidget> end 
[Debug  ] <VideoHistogramScopeWidget::VideoHistogramScopeWidget> begin 
[Debug  ] <VideoHistogramScopeWidget::VideoHistogramScopeWidget> end 
[Debug  ] <ScopeDock::ScopeDock> begin 
[Debug  ] <ScopeDock::ScopeDock> end 
[Debug  ] <ScopeWidget::ScopeWidget> begin true 
[Debug  ] <ScopeWidget::ScopeWidget> end 
[Debug  ] <VideoRgbParadeScopeWidget::VideoRgbParadeScopeWidget> begin 
[Debug  ] <VideoRgbParadeScopeWidget::VideoRgbParadeScopeWidget> end 
[Debug  ] <ScopeDock::ScopeDock> begin 
[Debug  ] <ScopeDock::ScopeDock> end 
[Debug  ] <ScopeWidget::ScopeWidget> begin true 
[Debug  ] <ScopeWidget::ScopeWidget> end 
[Debug  ] <VideoRgbWaveformScopeWidget::VideoRgbWaveformScopeWidget> begin 
[Debug  ] <VideoRgbWaveformScopeWidget::VideoRgbWaveformScopeWidget> end 
[Debug  ] <ScopeDock::ScopeDock> begin 
[Debug  ] <ScopeDock::ScopeDock> end 
[Debug  ] <ScopeWidget::ScopeWidget> begin true 
[Debug  ] <ScopeWidget::ScopeWidget> end 
[Debug  ] <VideoVectorScopeWidget::VideoVectorScopeWidget> begin 
[Debug  ] <VideoVectorScopeWidget::profileChanged> 709 
[Debug  ] <VideoVectorScopeWidget::VideoVectorScopeWidget> end 
[Debug  ] <ScopeDock::ScopeDock> begin 
[Debug  ] <ScopeDock::ScopeDock> end 
[Debug  ] <ScopeWidget::ScopeWidget> begin true 
[Debug  ] <ScopeWidget::ScopeWidget> end 
